IDJawaban,IDSoal,Soal,Kunci Jawaban,Jawaban,Nilai,Nilai Max,Nilai Akhir,Grade
03060,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.","1. Menerima kedamaian, ketenangan, kekuatan melawan kuasa dan dosa (didapatnya rasa damai dalam diri, merasakan ketenangan, memiliki kekuatan pikiran dan iman untuk tidak melakukan dosa dan menghindari dosa). 2. Diperbaikinya hubungan dengan Allah, sesama, dan lingkungan (yang awalnya rusak karena dosa, diperbarui kembali). 3. Diterimanya kewajiban untuk hidup sesuai dengan ajaran-Nya dan berusaha melakukannya dalam kehidupan sehari-hari (melakukan hal-hal yang baik dan menghindar dari dosa).",33.33,33.33,10,A
03061,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.","1. pengampunan dosa- setelah kita bertobat, maka Tuhan akan mengampuni dosa dosa kita. 2. kedamaian- setelah kita bertobat, kita akan merasakan kedamaian karena telah terbebas dari dosa 3. kekuatan- kita akan mendapatkan kekuatan dalam mengatasi godaan-godaan untuk berbuat dosa lagi.",33.33,33.33,10,A
03062,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.","diberi kedamaian, diberi ketenangan, kekuatan untuk melawan dosa dosa, berdamai dengan Allah dan sesama.",33.33,33.33,10,A
03063,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",3 buah atau rahmat dalam sakramen tobat :- kedamaian -ketenangan -kekuatan untuk melawan kuasa dan dosa,33.33,33.33,10,A
03064,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",Buah atau rahmat dari sakramen tobat: 1. Ketenangan 2. kedamaian 3. Kekuatan mengalahkan kuasa dan dosa,33.33,33.33,10,A
03065,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.","* Kedamaian	* Kekuatan	* Kekudusan",30,33.33,9,A
03066,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",1. DIHAPUSKAN KITA DARI SEGALA DOSA DAN DIJADIKAN MILIK KRISTUS 2. DIBERI RAHMAT PEMBENARAN DAN PENGUDUSAN YANG MEMPERSATUKAN KITA DENGAN KRISTUS DAN GEREJANYA 3. DIMATERAIKAN NYA YANG BERARTI KITA MENJADI MILIK KRISTUS SELAMA-LAMANYA,26.67,33.33,8,B
03067,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",dilahirkan kembali seperti anak Allah- dihapuskan segala dosa - dosanya-di hilangkan Yang negatif,20,33.33,6,C
03068,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",membersihkan dosa dosa,20,33.33,6,C
03069,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",1. Kedamaian 2. Ketenangan 3. Kekuatan mengalahkan kuasa dan dosa,33.33,33.33,10,A
03070,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",1. Kekuatan mengalahkan kuasa dan dosa 2. Ketenangan 3. Kedamaian,33.33,33.33,10,A
03071,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",1. Kedamaian 2. Ketenangan 3. kekuatan mengalahkan kuasa dan dosa,33.33,33.33,10,A
03072,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.","jawaban: 1. lebih mendekatkan diri kepada Tuhan 2. lebih bertanggung jawab terutama dalam kehidupan sehari hari 3. dapat memiliki sikap kedamaian, kekuatan, ketenangan, dan kebesaran hati",20,33.33,6,C
03073,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.","Ketenangan, kedamaian, kekuatan untuk mengalahkan kuasa dosa serta berdamai dengan Tuhan dan sesama, dan dengan kita bertobat maka kekudusan gereja juga akan dipulihkan kembali.",33.33,33.33,10,A
03074,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.","Berdamai kembali dengan Allah karena itu juga berarti pengampunan dosa-dosa, dan berdamai kembali dengan Gereja; pemulihan keadaan rahmat jika keadaan itu sudah hilang karena dosa, penghapusan hukuman kekal karena dosa-dosa berat dan penghapusan, paling sedikit untuk sebagian, hukuman",26.67,33.33,8,B
03075,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",Ketenangan: Ketenangan dalam menjalani hidup sehari-hari dan terhindar dari amarah-Kedamaian: Kedamaian setiap Saat dan dimanapun-Kekuatan untuk melawan dosa dan godaan: mendapat Kekuatan untuk melawan dosa dan godaan Yang ada dalam hidup,33.33,33.33,10,A
03076,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",Kedamaian Ketenangan Kekuatan mengalahkan kuasa dan dosa,33.33,33.33,10,A
03077,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",3 buah atau rahmat dalam sakramen tobat antara lain 1. di bebaskan dari segala dosa dosa 2. di persatukan dengan kristus dan gereja nya 3. dimateraikan yang menandakan menjadi milik kristus selamanyamendapat rahmat pencurahan roh kudusmenyesali segala dosa dosa yang telah di perbuatberjanji untuk tidak melalkukan dosa yang telah di perbuat kembalimenyatkan diri untuk bertobat,20,33.33,6,C
03078,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",1.2.3.,3.33,33.33,1,E
03079,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",1.Terbebas dari dosa asal 2. Semakin beriman dalam kehidupan sehari-hari 3. Semakin rajin ke gereja,26.67,33.33,8,B
03080,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.","* Ketenangan, kedamaian dan kekuatan untuk mengalahkan kuasa serta dosa	* Berdamai dengan Allah Bapa	* Dibersihkan atau disucikan dari dosa dosa dan mendapat berkat dari Tuhan",33.33,33.33,10,A
03081,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.","Kedamaian, Ketenangan, dan Kekuatan mengalahkan kuasa dan dosa",33.33,33.33,10,A
03082,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.","buah dari sakramen tobat ntara lain adalah memberikan kedamaian, ketenangan, dan kekuatan untuk mengalahkan kuasa dan dosa mendapatkan perdamaian yaitu kita berdamai dengan Allah dan sesama kita",33.33,33.33,10,A
03083,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.","3 buah atau rahmat dalam sakramen Tobat adalah mendapatkan kedamaian, ketenangan, dan kekuatan untuk mengalahkan kuasa dan dosa.",33.33,33.33,10,A
03084,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.","Buah atau rahmat dalam sakramen tobat yaitu mendapatkan ketenangan, kedamaian, dan kekuatan untuk berjuang melawan kuasa dan dosa, kita disatukan kembali pada Allah, membawa kedamaian yaitu berdamai dengan Allah dan sesama, dengan bertobat hubungan kita dengan Allah dan sesama pun menjadi lebih baik.",33.33,33.33,10,A
03085,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",1. Rahmat pembenaran dan kekudusan. 2. Dihapuskan dari segala dosa 3. Menjadi milik Kristus,26.67,33.33,8,B
03086,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.","1. Memperbaiki hubungan harmonis dengan Tuhan dan sesama yang retak akibat dosa. 2. Menjadi sungguh anak Allah. 3. Menerima kedamaian,ketenangan,dan kekuatan melawan kuasa dan dosa.",26.67,33.33,8,B
03087,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.","1. kekuatan mengalahkan kuasa dan dosa 2. ketenangan 3. kedamaian, berdamai dengan Allah dan sesama",33.33,33.33,10,A
03088,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.","kita akan mendapatkan damai, diberi ketenangan, dan kekuatan untuk berjuang melawan dosa",33.33,33.33,10,A
03089,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.","1. mendapatkan karunia dari roh kudus yaitu keselamatan dan ketenangan 2. mendapatkan kekuatan untuk berjuang melawan kuasa dan dosa 3. mendapatkan perdamaian, perdamaian dengan yesus kristus dan sesama",26.67,33.33,8,B
03090,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.","* air: kita dibersihkan dari dosa-dosa	* lilin: cahaya kristus yang menerangi kita	* kain: mengandalkan kekuatan kristus dalam hidup kita",13.33,33.33,4,E
03091,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",penguatan pengudusan pembenaran,26.67,33.33,8,B
03092,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.","Kedamaian, ketenangan, dan kekuatan untuk melawan kuasa atas dosa Mengakui atas kesalahan/dosa yang diperbuat Tidak akan mengulangi kesalahan/dosa lagi",26.67,33.33,8,B
03093,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.","Dosa : ketika seseorang secara sengaja maupun tidak sengaja berbuat kesalahan. Buah dari sakramen tobat antara lain adalah memberikan kedamaian, ketenangan, dan kekuatan untuk berjuang mengalahkan kuasa dan dosa, mendapatkan perdamaian artinya kita berdamai dengan Allah dan juga sesama.,",33.33,33.33,10,A
03094,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.","1. Mendapatkan pengampunan dosa 2. Mendapatkan Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa 3. Menyatukan/mendekatkan lagi diri kita dengan Tuhan",33.33,33.33,10,A
03095,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.","memberikan keselamatan, ketenangan dan kekuatan untuk berjuang mengalahkan kuasa dari dosa kita juga mendapatkan perdamaian yaitu berdamai dengan allah dan juga manusia",33.33,33.33,10,A
03096,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",Kedamaian -Ketenangan -Kekuatan mengalahkan dosa.,33.33,33.33,10,A
03097,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",1. memberi kedamain dan kekuatan untuk mengalahkan kuasa dosa 2. mendapat perdamaian yaitu kita berdamai dengan Allah dan sesama 3. membawa kesembuhan,26.67,33.33,8,B
03098,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",menghapuskan dosa dosa kita -memberikan rahmat Yang mulia kepada kita -memberkati dan mengingatkan kita akan dosa dosa Yang salah,20,33.33,6,C
03099,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",manusia dibebaskan dari dosa manusia dilahirkan kembali oleh Yesus kristus,20,33.33,6,C
03100,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",1.kedamaian 2. ketenangan 3. kekuatan mengalahkan kuasa dan dosa,33.33,33.33,10,A
03101,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.","memberikan ketenangan, kedamaian, dan kekuatan melawan dosa",33.33,33.33,10,A
03102,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",1. Rahmat pembenaran dan kekudusan 2. Di materaikan yang bertanda menjadi milik kristus selamanya 3. Dihapuskan dari segala dosa,26.67,33.33,8,B
03103,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.","Diberi ketenangan, kesabaran, dan dijauhi dari godaan2 negatif.",26.67,33.33,8,B
03104,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",1. sakramen ekaristi= sakramen sebelum tobat 2. sakramen penguatan= sakramen harus di atas umur 17 tahun 3. sakramen pengurapan orang sakit= mengurapi orang yang sakit dan diberkati,13.33,33.33,4,E
03105,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",3 buah atau rahmat dalam sakramen tobat: 1. Membersihkan diri dari dosa-dosa. 2. Dilahirkan kembali menjadi anak Allah. 3. Mendapatkan rahmat pengudusan dan pembenaran yang mempersatukan.,26.67,33.33,8,B
03106,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",1. kedamaian 2. ketenangan 3. kekuatan mengalahkan kuasa dan dosa,33.33,33.33,10,A
03107,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.","Dalam sakramen tobat, kita menerima pengampunan atas dosa-dosa.",16.67,33.33,5,D
03108,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",Sakramen tobat memulihkan hubungan kita dengan Tuhan.,16.67,33.33,5,D
03109,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",Sakramen tobat memberi kita kekuatan untuk melawan godaan.,16.67,33.33,5,D
03110,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",Tobat membantu kita memperbaiki hidup dan kembali kepada Tuhan.,16.67,33.33,5,D
03111,03,Sebagai orang beriman kristiani sering juga jatuh dalam godaan dan dosa. Jelaskanlah 3 buah  atau rahmat dalam sakramen Tobat!,"Kedamaian, ketenangan, dan kekuatan mengalahkan kuasa dan dosa.",Sakramen tobat memperbarui dan menguatkan iman kita.,16.67,33.33,5,D
04001,04,"Perbaiki kesalahan tanda baca, penggunaan huruf kapital, dan penggunaan ejaan yang benar dari isi ulasan berikut! Tulislah kembali paragraf tersebut sehingga menjadi paragraf yang tepat! Jika Anggun C Sasmi dikatakan sebagai Diva dunia musik maka tidak heran penampilannya sungguh memukau di film Long Distance marriage ini.  namun, Keanu Reeves sebagai pasangan mainnya terasa kurang optimal. Aktor yang memainkan film john Wick tersebut terasa masih kental dengan peran dahulunya sebagai pembunuh sehingga kurang cocok dengan drama romantis difilm ini. Kesan yang akan di rasakan dari film Terasa memaksa dari segi aktor meski pun dari segi latar tempat penggunaan musik dan pengambilan sudut kamera sudah bekerja dengan optimal dan menutup kekurangharmonisan aktor keanu Reeves ini","Jika Anggun C Sasmi dikatakan sebagai diva dunia musik. Maka, tidak heran penampilannya sungguh memukau di film Long Distance Marriage ini. Namun, Keanu Reeves sebagai pasangan mainnya terasa kurang optimal. Aktor yang memainkan film John Wick tersebut terasa masih kental dengan peran dahulunya sebagai pembunuh, sehingga kurang cocok dengan drama romantis di film ini. Kesan yang akan dirasakan dari film terasa memaksa dari segi aktor meskipun dari segi latar tempat penggunaan musik dan pengambilan sudut kamera sudah bekerja dengan optimal dan menutup kekurangharmonisan aktor Keanu Reeves ini.","Jika Anggun C. Sasmi di katakan sebagai Diva dunia musik, maka tidak heran penampilannya sungguh memukau di film Long Distance Marriage ini. Namun, Keanu Reeves sebagai pasangan mainnya terasa kurang optimal. Aktor yang memainkan film John Wick tersebut terasa masih kental dengan peran dahulunya sebagai pembunuh, sehingga kurang tepat dengan drama romantis di film ini. Kesan yang di rasakan dari film: Terasa memaksa dari segi aktor meskipun dari segi latar tempat penggunaan musik dan pengambilan sudut kamera sudah bekerja dengan optimal dan menutup kekurang harmonisan aktor Keanu Reeves ini.",9,10,9,A
04002,04,"Perbaiki kesalahan tanda baca, penggunaan huruf kapital, dan penggunaan ejaan yang benar dari isi ulasan berikut! Tulislah kembali paragraf tersebut sehingga menjadi paragraf yang tepat! Jika Anggun C Sasmi dikatakan sebagai Diva dunia musik maka tidak heran penampilannya sungguh memukau di film Long Distance marriage ini.  namun, Keanu Reeves sebagai pasangan mainnya terasa kurang optimal. Aktor yang memainkan film john Wick tersebut terasa masih kental dengan peran dahulunya sebagai pembunuh sehingga kurang cocok dengan drama romantis difilm ini. Kesan yang akan di rasakan dari film Terasa memaksa dari segi aktor meski pun dari segi latar tempat penggunaan musik dan pengambilan sudut kamera sudah bekerja dengan optimal dan menutup kekurangharmonisan aktor keanu Reeves ini","Jika Anggun C Sasmi dikatakan sebagai diva dunia musik. Maka, tidak heran penampilannya sungguh memukau di film Long Distance Marriage ini. Namun, Keanu Reeves sebagai pasangan mainnya terasa kurang optimal. Aktor yang memainkan film John Wick tersebut terasa masih kental dengan peran dahulunya sebagai pembunuh, sehingga kurang cocok dengan drama romantis di film ini. Kesan yang akan dirasakan dari film terasa memaksa dari segi aktor meskipun dari segi latar tempat penggunaan musik dan pengambilan sudut kamera sudah bekerja dengan optimal dan menutup kekurangharmonisan aktor Keanu Reeves ini.","Jika Anggun C. Sasmi dikatakan sebagai diva dunia musik maka tidak heran penampilannya sungguh memukau di film Long Distance Marriage ini. Namun, Keanu Reeves sebagai pasangan mainnya terasa kurang optimal. Aktor yang memainkan film John Wick tersebut terasa masih kental dengan peran dahulunya sebagai pembunuh, sehingga kurang cocok dengan drama romantis di film ini. Kesan yang akan di rasakan dari film Terasa memaksa dari segi aktor, meskipun dari segi latar tempat penggunaan musik dan pengambilan sudut kamera sudah bekerja dengan optimal dan menutup kekurang-harmonisan aktor Keanu Reeves ini.",8,10,8,B
04003,04,"Perbaiki kesalahan tanda baca, penggunaan huruf kapital, dan penggunaan ejaan yang benar dari isi ulasan berikut! Tulislah kembali paragraf tersebut sehingga menjadi paragraf yang tepat! Jika Anggun C Sasmi dikatakan sebagai Diva dunia musik maka tidak heran penampilannya sungguh memukau di film Long Distance marriage ini.  namun, Keanu Reeves sebagai pasangan mainnya terasa kurang optimal. Aktor yang memainkan film john Wick tersebut terasa masih kental dengan peran dahulunya sebagai pembunuh sehingga kurang cocok dengan drama romantis difilm ini. Kesan yang akan di rasakan dari film Terasa memaksa dari segi aktor meski pun dari segi latar tempat penggunaan musik dan pengambilan sudut kamera sudah bekerja dengan optimal dan menutup kekurangharmonisan aktor keanu Reeves ini","Jika Anggun C Sasmi dikatakan sebagai diva dunia musik. Maka, tidak heran penampilannya sungguh memukau di film Long Distance Marriage ini. Namun, Keanu Reeves sebagai pasangan mainnya terasa kurang optimal. Aktor yang memainkan film John Wick tersebut terasa masih kental dengan peran dahulunya sebagai pembunuh, sehingga kurang cocok dengan drama romantis di film ini. Kesan yang akan dirasakan dari film terasa memaksa dari segi aktor meskipun dari segi latar tempat penggunaan musik dan pengambilan sudut kamera sudah bekerja dengan optimal dan menutup kekurangharmonisan aktor Keanu Reeves ini.","Jika Anggun C Sasmi dikatakan sebagai diva dunia musik maka, tidak heran penampilannya sungguh memukau di film Long Distance Marriage ini. Namun, Keanu Reeves sebagai pasangan mainnya terasa kurang optimal. Aktor yang memainkan film John Wick tersebut terasa masih kental dengan peran dahulunya sebagai pembunuh, sehingga kurang cocok dengan drama romantis di film ini. Kesan yang akan dirasakan dari film terasa memaksa dari segi aktor meskipun dari segi latar tempat, penggunaan musik, dan pengambilan sudut kamera sudah bekerja dengan optimal dan menutup kekurangan keharmonisan aktor Keanu Reeves ini.",8,10,8,B
04004,04,"Perbaiki kesalahan tanda baca, penggunaan huruf kapital, dan penggunaan ejaan yang benar dari isi ulasan berikut! Tulislah kembali paragraf tersebut sehingga menjadi paragraf yang tepat! Jika Anggun C Sasmi dikatakan sebagai Diva dunia musik maka tidak heran penampilannya sungguh memukau di film Long Distance marriage ini.  namun, Keanu Reeves sebagai pasangan mainnya terasa kurang optimal. Aktor yang memainkan film john Wick tersebut terasa masih kental dengan peran dahulunya sebagai pembunuh sehingga kurang cocok dengan drama romantis difilm ini. Kesan yang akan di rasakan dari film Terasa memaksa dari segi aktor meski pun dari segi latar tempat penggunaan musik dan pengambilan sudut kamera sudah bekerja dengan optimal dan menutup kekurangharmonisan aktor keanu Reeves ini","Jika Anggun C Sasmi dikatakan sebagai diva dunia musik. Maka, tidak heran penampilannya sungguh memukau di film Long Distance Marriage ini. Namun, Keanu Reeves sebagai pasangan mainnya terasa kurang optimal. Aktor yang memainkan film John Wick tersebut terasa masih kental dengan peran dahulunya sebagai pembunuh, sehingga kurang cocok dengan drama romantis di film ini. Kesan yang akan dirasakan dari film terasa memaksa dari segi aktor meskipun dari segi latar tempat penggunaan musik dan pengambilan sudut kamera sudah bekerja dengan optimal dan menutup kekurangharmonisan aktor Keanu Reeves ini.","- Kata ""namun"" yang berada di awal kalimat seharusnya menggunakan huruf kapital.- Kata ""Terasa"" berada di tengah kalimat seharusnya tidak menggunakan huruf kapital.- Kata ""marriage merupakan judul film seharusnya menggunakan huruf kapital.- Kata ""keanu"" merupakan nama orang seharusnya menggunakan huruf kapital.- Kata ""john"" merupakan nama orang seharusnya menggunakan huruf kapital.- Kata ""difilm"" seharusnya dipisah.",3,10,3,E
